recipeID,recipeName,instruction,time,numberOfIngredients,rating,ingredients,picture
23,Funnel Cake,"DIRECTIONS:

1. In a large bowl, mix all dry ingredients.

2. Beat egg, milk, and vanilla together in a separate bowl.

3. Add milk mixture to dry ingredients beating until smooth.

4. Fill 8"" skillet with 1 inch oil and heat to 375 degrees.

5. Cover funnel hole with finger and fill with about 1/4 cup of batter.

6. Hold funnel over skillet and remove finger moving funnel around to form patterns with the batter.

7. Fry until golden brown, about 1 or 2 minutes.

8. Turn over with tongs and continue frying another minute or two or until both sides are brown.

9. Remove from oil, drain on paper towels, and sprinkle with powdered sugar.

10. Serve hot.",18,10,5,"INGREDIENTS:
1 1/3 cups flour
1/4 teaspoon salt
1/2 teaspoon baking soda
2 1/2 tablespoons sugar
3/4 teaspoon baking powder
1 egg, beaten
3/4 cup milk
1 teaspoon vanilla
oil, for frying
powdered sugar",http://lh5.ggpht.com/vTntYBCBVNkK3nSJ-OahWscjOLmBtQjI2BCIeGby6-yizLYuxnZNuGF6cnNA2jEMwiQXwXax0Vpg_Przfm5PTw=s730-c-e365
24,Fried Butterflied Shrimp,"DIRECTIONS:

1. Preheat deep fryer or skillet with oil to 350 degrees F (175 degrees C).

2. In a large bowl, pour in water and mix in cornstarch and eggs.

3. Dip the shrimp into the mixture allowing them to be completely coated. Then roll the shrimp in the breadcrumbs. Coat the shrimp well with the breadcrumbs. Mix up the cornstarch batter again. Dip the breadcrumbs coated shrimp back into the cornstarch batter. Roll the shrimp in the breadcrumbs for a second time. Repeat for each shrimp.

4. Drop shrimp, one at a time, into the hot oil and cook shrimp until they are golden brown.",35,6,5,"INGREDIENTS:
1 pound large shrimp, peeled and deveined and butterflied
1 quart water
1 1/2 cups cornstarch
2 eggs
2 cups fresh bread crumbs
5 cups oil for deep frying",http://lh6.ggpht.com/HMETm0edtNtVQD9f6p85TtupSPf75-grGPZZm_q7cn6o-rWBYu1VIWT37zj1CppEry54Cq2QjmcdKtTFbMj__A=s730-c-e365
25,Chicken Parmesan,"DIRECTIONS:

1. Pound chicken to flatten.

2. Salt and pepper to taste.

3. Dip chicken in egg; then in bread crumbs.

4. Fry in butter in hot skillet, turning and browning for 10 minutes or until chicken is done.

5. Remove from skillet.

6. To skillet add spaghetti sauce.

7. Heat thoroughly.

8. Add chicken.

9. Place slices of mozzarella on top of chicken.

10. Sprinkle with parmesan.

11. Cover and cook until cheese is melted.

<<<<<<< HEAD
12. Serve with a side of spaghetti.",23,9,5,"INGREDIENTS:
4 boneless skinless chicken breast halves
salt
pepper
1/2 cup Italian breadcrumbs
1 egg, beaten
4 teaspoons butter
2 cups spaghetti sauce
4 slices mozzarella cheese
1 teaspoon grated parmesan cheese",http://img.sndimg.com/food/image/upload/w_266/v1/img/recipes/19/13/5/pic7V2lhR.jpg
26,Tofu Chili,"DIRECTIONS:

1. In a medium bowl, crumble the tofu and toss with the chili powder and garlic.

2. Heat the oil in a large saucepan over medium heat, and saute the onion and celery until tender. Stir in the tofu mixture. Continue cooking about 5 minutes over low heat.

3. Mix in the corn, kidney beans, and stewed tomatoes. Add water and bring to a boil. Reduce heat to low and simmer about 50 minutes.",75,10,4,"INGREDIENTS:
1/2 (12 ounce) package extra firm tofu
1 teaspoon chili powder
1 clove garlic, minced
2 tablespoons vegetable oil
1/2 cup onion, chopped
2 stalks celery, chopped
1/2 cup whole kernel corn, undrained
1 (15.25 ounce) can kidney beans, undrained
1 (14.5 ounce) can stewed tomatoes, undrained
1 quart water",http://images.media-allrecipes.com/userphotos/250x250/01/55/46/1554634.jpg
27,Macaroni and Tomatoes,"DIRECTIONS:

1. Cook macaroni according to directions.

2. Drain and return to pot.

3. Add tomatoes including juices and heat on low/medium until hot.

4. If using diced or whole tomatoes, crush.

5. Be careful macaroni doesn't stick to bottom of pot - stir frequently!

6. I have added butter and/or cheese whiz for additional flavour.

7. Depending on amount of macaroni cooked, I have used 28 oz can of tomatoes.

8. I have also used italian style tomatoes and chili tomatoes which give it a slightly different flavour, but plain tomatoes are best for our family preference. I have tried canned tomatoes with olive oil and spices (to be used for brushetta) and they are too oily and doesn't result have good results.",11,4,4,"INGREDIENTS:
2 -3 cups uncooked macaroni
1 (19 ounce) can tomatoes
salt
pepper
",http://cdn-image.myrecipes.com/sites/default/files/styles/300x300/public/image/recipes/ck/05/01/macaroni-ck-1011318-x.jpg?itok=qaByxIFh
28,Crispy Smoked Mozzarella with Honey and Figs,"DIRECTIONS:

1. In a large pot, heat the vegetable oil over medium heat to 175°C.

2. Place 1 sheet of filo on a dry work surface. Place one slice  of cheese about 12cm from the top of the narrow end of the sheet. Fold the top of the narrow end over the cheese, leaving 2 1/2cm between the fold and the cheese. Next fold over 1 of the long sides then the other, again leaving 2 1/2cm between the folds and the cheese. Then fold the cheese over, again leaving 2 1/2cm between the fold and the cheese. Continue folding to make a package about 9 by 10cm. Continue with the remaining pieces of cheese and filo. 

3. Fry the filo and cheese packages, 2 or 3 at a time, in the oil until golden, about 2 mins per side. Drain on a baking sheet lined with paper towels.

4. Meanwhile, heat the figs and honey in a small saucepan over low heat until the honey is warm. Set aside until the cheese packages have finished frying.

5. To serve, place 1 cheese package on a plate. Spoon some figs and drizzle some honey over the top of each cheese package. Sprinkle with black sesame seeds and serve immediately.",25,6,4,"INGREDIENTS:
6 sheets filo pastry
6 oz (170g) smoked mozzarella, cut into 6 equal pieces
Vegetable oil, for frying
8 oz (225g) dried figs, stemmed and quartered
9 oz (255g) honey, plus more for drizzling
¼ oz (10g) black sesame seeds",http://w2.fnstatic.co.uk/sites/default/files/styles/recipe_main_pic/public/pictures/recipeImages/EI1015_37568_s4x3.jpg?itok=NNR6l3bo
29,Crispy Prosciutto Wrapped Asparagus,"DIRECTIONS:

1. Preheat the oven to 400F. Wrap 2 asparagus spears with a slice of prosciutto. Place spears on baking sheet. Drizzle olive oil on the tips and ends of the asparagus (avoiding the prosciutto). Roast for 8-10 minutes, until the asparagus is cooked through and the prosciutto becomes crispy.

2. In a small bowl, whisk together the Philadelphia Cooking Cream with the water. Microwave on medium setting for 45 seconds.

3. Plate the asparagus and drizzle the Philadelphia Cooking Cream over the asparagus. Serve immediately.",20,5,5,"INGREDIENTS:
1 pound asparagus, tough ends trimmed and discarded
8 ounces prosciutto, very thinly sliced
1 tablespoon olive oil
1/2 cup Philadelphia Cooking Creme (any flavor, I used Italian Cheese and Herb)
1 tablespoon water",http://steamykitchen.com/wp-content/uploads/2011/04/proscuitto-wrapped-asparagus-recipe-8170.jpg
30,Spicy Queso Dip,"DIRECTIONS:

1. Cook onion in hot oil in a large nonstick skillet over medium-high heat 8 minutes or until tender. Add garlic, and cook 1 minute. Remove from heat.

2. Combine cheese, tomatoes, and onion mixture in a large microwave-safe glass bowl. Microwave at HIGH 5 minutes, stirring every 2 1/2 minutes. Stir in cilantro. Serve with tortilla chips.",20,9,5,"INGREDIENTS:
1 small onion, diced
1 tablespoon oil
1 garlic clove, minced
1 (16-oz.) package pepper Jack pasteurized prepared cheese product, cubed
1 (10-oz.) can diced tomatoes and green chiles
2 tablespoons chopped fresh cilantro
Tortilla chips",http://cdn-image.myrecipes.com/sites/default/files/styles/300x300/public/image/recipes/sl/11/05/spicy-queso-dip-sl-x.jpg?itok=qx7pexYC
31,Cracker Pizza,"DIRECTIONS:

1. Spread each cracker with 1/2 teaspoon pizza sauce, place a slice of pepperoni on top, and sprinkle with about 1 tablespoon of shredded mozzarella cheese. Place crackers onto a microwave safe plate.

2. Microwave on High for 1 to 2 minutes, until cheese melts.",7,4,4,"INGREDIENTS:
24 whole wheat crackers
1/4 cup pizza sauce
24 slices pepperoni, or pizza toppings of your choice
1 1/2 cups finely shredded mozzarella cheese",http://images.media-allrecipes.com/userphotos/250x250/00/12/24/122419.jpg
32,Grand Marnier Deep Fried Bananas,"DIRECTIONS:

1. Combine the rice flour, sugar, salt, milk, Grand Marnier, baking soda and vanilla bean scrapings in a medium bowl. Let the batter sit at room temperature for 30 minutes.
2. In a deep pot heat the canola oil to 350°F.

3. While the oil is heating, dip the bananas into the batter to coat. When the oil is hot enough, add the bananas and fry until golden brown, about 3 minutes. Don't overcrowd the pan or you'll get a big mess.  Only add as many as will float in an even single layer. Remove with a slotted spoon and transfer to paper towels to drain excess oil.  Continue in batches depending on the size of your pot.

4. Sprinkle with confectioner's sugar if you choose and serve.",60,10,5,"INGREDIENTS:
1 1/2 cups cake flour
1/2 cup granulated sugar
2 teaspoons salt
1 1/2 cups whole milk
1/4 cup Grand Marnier
1/4 teaspoon baking soda
1 vanilla bean, split and scraped, bean pod discarded
3 cups canola oil
4 bananas, cut 1-inch thick on the bias
confectioner's sugar, *optional for sprinkling",http://www.foodrepublic.com/sites/default/files/imagecache/embed/recipe/grandmarnierbananas.jpg
33,Stove Top Macaroni and Cheese,"DIRECTIONS: 

1. Cook macaroni pasta for 8-10 minutes in salted water, until al dente.

2. Reserve 1 cup pasta water before draining the pasta.

3. Drain the pasta and return it to the pot.

4. Add 1/4 cup pasta water, the yogurt, and 1/3 of the grated cheese and stir until the cheese has melted.

5. Stir in remaining cheese, one small handful at a time to prevent clumping.

6. Add additional pasta water as necessary to thin the cheese sauce.

7. Stir in peas and chicken, if using, and serve warm.

8. To reheat, microwave in 30 second intervals, stirring in between. If you think it needs it, add a tablespoon or two of skim milk or water. It's usually creamy enough after it's heated thoroughly but it's up to you.",30,7,4,"INGREDIENTS:
8 oz macaroni pasta
8 oz American cheese, grated
1/2 cup fat-free Greek yogurt
Salt
Pepper
1 1/2 cup frozen peas, thawed
1 cup shredded chicken (optional)",http://farm7.static.flickr.com/6169/6173262871_fb453f15c1_z.jpg
34,Deep Fried Oreos,"DIRECTIONS:

1. Heat oil in deep-fryer to 375 degrees F (190 degrees C).

2. Whisk together the egg, milk, and 2 teaspoons of vegetable oil in a bowl until smooth. Stir in the pancake mix until no dry lumps remain. Dip the cookies into the batter one at a time, and carefully place into the hot frying oil. Fry only 4 or 5 at a time to avoid overcrowding the deep fryer. Cook until the cookies are golden-brown, about 2 minutes. Drain on a paper towel-lined plate before serving.",30,6,5,"INGREDIENTS:
2 quarts vegetable oil for frying
1 large egg
1 cup milk 
2 teaspoons vegetable oil
1 cup pancake mix
1 (18 ounce) package cream-filled chocolate sandwich cookies (such as Oreo®)",http://images.media-allrecipes.com/userphotos/250x250/00/37/72/377284.jpg
35,Japanese-Style Deep Fried Chicken,"DIRECTIONS:

1. In a large bowl, mix together eggs, salt, pepper, sugar, garlic, ginger, sesame oil, soy sauce, and bouillon. Add chicken pieces, and stir to coat. Cover, and refrigerate for 30 minutes.

2. Remove bowl from refrigerator, add potato starch and rice flour to meat, and mix well.

3. In a large skillet or deep fryer, heat oil to 365 degrees F (185 degrees C). Place chicken in hot oil, and fry until golden brown. Cook meat in batches to maintain oil temperature. Drain briefly on paper towels. Serve hot.",70,13,5,"INGREDIENTS:
2 eggs, lightly beaten
1/2 teaspoon salt
1/2 teaspoon black pepper
1/2 teaspoon white sugar
1 tablespoon minced garlic
1 tablespoon grated fresh ginger root
1 tablespoon sesame oil
1 tablespoon soy sauce
1/8 teaspoon chicken bouillon granules
1 1/2 pounds skinless, boneless chicken breast halves - cut into 1 inch cubes
3 tablespoons potato starch
1 tablespoon rice flour
oil for frying",http://images.media-allrecipes.com/userphotos/250x250/00/29/61/296189.jpg
36,Best Ever 5 Minute Microwave Hummus,"DIRECTIONS:

1. Microwave undrained chickpeas and whole garlic cloves in a mixing bowl for 4-5 minutes.

2. Add to blender or food processor and process with lemon juice, salt and tahini. Stream in olive oil while mixing.

3. Process until smooth and creamy, scraping down sides as needed. Taste and adjust seasonings as you prefer. I find 3/4 tsp salt to be the perfect amount.

4. Garnish with a little more olive oil and paprika, and serve with veggies, crackers and pita. Leftovers keep in the refrigerator for up to 1 week or more. It tastes even better refrigerated, as it has time to thicken up and develop in flavor.",5,6,3,"INGREDIENTS:
1 15-ounce can chickpeas, NOT drained
2-4 cloves garlic (depending on how garlicky you prefer it)
1/2 cup tahini
2 Tbsp fresh lemon juice
3/4 – 1 tsp sea salt
1-2 Tbsp extra virgin olive oil",http://i.minimalistbaker.com/wp-content/uploads/2014/05/5-Minute-Microwave-Hummus-vegan-glutenfree-and-totally-restuarant-worthy.jpg
37,Corn on the Cob with Chile and Lime,"DIRECTIONS:

1. Microwave corn, in their husks, for about 15-20 minutes. (Until cooked)

2. Remove husks and corn silk. Rub each corn with a little butter. Squeeze lime juice and sprinkle with chili seasoning. Enjoy!",20,4,4,"INGREDIENTS:
4 ears corn with husks
1 lime, cut in wedges
1 tps butter
McCormick Chili with Lime Seasoning",http://2.bp.blogspot.com/_BizpeaUzxq8/SBslqhCq9tI/AAAAAAAAAJU/kr46QbLWwnA/s400/corn.jpg
38,Basil Lemonade,"DIRECTIONS:

1. Combine sugar and 1/4 cup water in a microwave safe bowl and heat for 45 seconds. Then stir until sugar is dissolved and liquid is clear. Set aside to cool.

2. Use muddler (is base of a wooden spoon) to muddle together lemon juice and basil leaves and infuse the juice with basil flavor.

3. Add 2/3 cup of cold water and sugar syrup, to taste. Pour over ice and serve!",20,5,3,"INGREDIENTS:
1/4 cup granulated sugar
1/3 cup freshly squeezed lemon juice (from 2 large lemons)
1/4 cup fresh basil leaves, roughly torn
water
ice",http://camillestyles.com/wp-content/uploads/2012/03/IMG_0037.jpg
39,S'more Chocolate Bark,"DIRECTIONS:

1. Melt the dark chocolate in a double boiler or in 20-second intervals in the microwave. You want it to be just melted—don’t let it bubble or burn. As it’s melting, stir it occasionally with a heatproof spatula.

2. Remove the dark chocolate from the microwave or the heat, and add the marshmallows. Stir to coat them all with chocolate. Let sit for a moment while you make the white chocolate combo.

3. Melt the white chocolate in a second double boiler or in 20-second intervals in the microwave. Same as before–you want it to be just melted, don’t let it bubble or burn. As it’s melting, stir it occasionally with a heatproof spatula.

4. Remove the white chocolate from the microwave or the heat, and add the chopped graham. Stir to coat them all with chocolate.

5. Spoon the white chocolate in a random pattern on a parchment-lined baking sheet. Then repeat with the dark chocolate-marshmallow combo, filling in the gaps.  Put the sheets in the freezer or fridge and let the bark sit until hardened. This should take about 1 hour in the freezer, slightly more in the fridge.

6. Using a knife, cut the bark into bite-size pieces that include both white and dark chocolate. Store in the fridge until ready to serve.",70,4,4,"INGREDIENTS:
2 cups bittersweet chocolate chips
2 cups good-quality white chocolate chips (ingredient list must contain cocoa butter)
2 cups chopped graham crackers
2 cups mini marshmallows",http://www.biggirlssmallkitchen.com/wp-content/uploads/2012/07/IMG_8779-600x399.jpg
40,Chocolate Fondue,"DIRECTIONS:

1. Place all of the ingredients in a medium microwave-safe bowl. Cook in the microwave on medium power (50%) for 1½ minutes. Take out and stir. Microwave on medium power for 30-60 seconds more, then stir the mixture until smooth. (Note: you want to take it out when it is almost melted; there should be enough residual heat to melt any remaining bits of chocolate.)

2. Transfer the mixture to a fondue pot or bowl and serve with assorted dippers.

3. Note: It's a good idea to stir the fondue occasionally to avoid scorching. If you don't have a fondue pot, you can re-warm the fondue over medium heat in the microwave if necessary.",15,4,4,"INGREDIENTS:
1 cup heavy cream
8 ounces premium semi-sweet chocolate, finely chopped
1 tablespoon sugar
1 tablespoon unsalted butter",http://www.onceuponachef.com/images/2011/02/chocolate-fondue.jpg
